ExecutionId,CycleName,FolderName,Issue Key,Test Summary,Project,Component,Version,Priority,Executed By,Executed On,ExecutionStatus,ExecutionDefects,CreationDate,Assigned To,Custom Fields,Work Flow Status,Total Execution Time,Total Logged Time,StepId,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Step Custom Fields
fff6f417-3f90-4633-8c37-6d0aedc016bf,Ad hoc,,PROJ-24,check functionality of homepage search feature,project1,,verion1.0,Medium,NEERAJ PUROHIT,8/19/2022 16:04,PASS,,8/19/2022 16:03,NEERAJ PUROHIT,,,,,76c2bab7-7e38-497f-8f1f-a9d5553c9f12,1,open the browser,chrome,browser should open,PASS,,
fff6f417-3f90-4633-8c37-6d0aedc016bf,Ad hoc,,PROJ-24,check functionality of homepage search feature,project1,,verion1.0,Medium,NEERAJ PUROHIT,8/19/2022 16:04,PASS,,8/19/2022 16:03,NEERAJ PUROHIT,,,,,5052eee6-bae6-4346-9ac9-1e336a3303c6,2,enter the url,https://opensource-demo.orangehrmlive.com/,it should navigate to login page of orange hrm,PASS,,
fff6f417-3f90-4633-8c37-6d0aedc016bf,Ad hoc,,PROJ-24,check functionality of homepage search feature,project1,,verion1.0,Medium,NEERAJ PUROHIT,8/19/2022 16:04,PASS,,8/19/2022 16:03,NEERAJ PUROHIT,,,,,8b76b501-dcaa-4047-ae9c-92a2b899c5ad,3,enter username,Admin,username accepted,PASS,,
fff6f417-3f90-4633-8c37-6d0aedc016bf,Ad hoc,,PROJ-24,check functionality of homepage search feature,project1,,verion1.0,Medium,NEERAJ PUROHIT,8/19/2022 16:04,PASS,,8/19/2022 16:03,NEERAJ PUROHIT,,,,,843bc056-05ff-4de6-bec9-bd15178afaea,4,enter password,admin123,password accepted,PASS,,
fff6f417-3f90-4633-8c37-6d0aedc016bf,Ad hoc,,PROJ-24,check functionality of homepage search feature,project1,,verion1.0,Medium,NEERAJ PUROHIT,8/19/2022 16:04,PASS,,8/19/2022 16:03,NEERAJ PUROHIT,,,,,22e6dde3-e15b-4575-9806-ad622c732d53,5,click on login button,,logged successful,PASS,,
fff6f417-3f90-4633-8c37-6d0aedc016bf,Ad hoc,,PROJ-24,check functionality of homepage search feature,project1,,verion1.0,Medium,NEERAJ PUROHIT,8/19/2022 16:04,PASS,,8/19/2022 16:03,NEERAJ PUROHIT,,,,,48ac00fd-d65c-402e-92e1-1f2c959aab6b,6,site open,orange hrm,it should navigate to home page,PASS,,
fff6f417-3f90-4633-8c37-6d0aedc016bf,Ad hoc,,PROJ-24,check functionality of homepage search feature,project1,,verion1.0,Medium,NEERAJ PUROHIT,8/19/2022 16:04,PASS,,8/19/2022 16:03,NEERAJ PUROHIT,,,,,a2a63f37-d188-4dfa-959b-1cd577bb55e6,7,enter search button,time,accepted time,PASS,,
fff6f417-3f90-4633-8c37-6d0aedc016bf,Ad hoc,,PROJ-24,check functionality of homepage search feature,project1,,verion1.0,Medium,NEERAJ PUROHIT,8/19/2022 16:04,PASS,,8/19/2022 16:03,NEERAJ PUROHIT,,,,,ea19d58a-1a21-48b6-a284-a211d9b9ac98,8,click on search bar,,it should navigate to time page,PASS,,
