ExecutionId,CycleName,FolderName,Issue Key,Test Summary,Project,Component,Version,Priority,Executed By,Executed On,ExecutionStatus,ExecutionDefects,CreationDate,Assigned To,Custom Fields,Work Flow Status,Total Execution Time,Total Logged Time,StepId,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Step Custom Fields
b57b45da-6358-42dc-8759-579695fe9b0b,Ad hoc,,PROJ-26,check the functionality of home page log out feature,project1,,version1.0,Medium,,,UNEXECUTED,,8/19/2022 16:21,,,,,,4a7ca4d8-1485-4a74-b710-fabccf26f397,1,open the browser,chrome,browser should open,,,
b57b45da-6358-42dc-8759-579695fe9b0b,Ad hoc,,PROJ-26,check the functionality of home page log out feature,project1,,version1.0,Medium,,,UNEXECUTED,,8/19/2022 16:21,,,,,,4d9bcd44-4b21-4a6f-a973-0e8b40487eaa,2,enter the url,https://opensource-demo.orangehrmlive.com/,it should navigate to orange hrm login page,,,
b57b45da-6358-42dc-8759-579695fe9b0b,Ad hoc,,PROJ-26,check the functionality of home page log out feature,project1,,version1.0,Medium,,,UNEXECUTED,,8/19/2022 16:21,,,,,,22c2bb1a-c0e3-4e4b-bc1c-83e3be21e7aa,3,enter username,Admin,username accepted,,,
b57b45da-6358-42dc-8759-579695fe9b0b,Ad hoc,,PROJ-26,check the functionality of home page log out feature,project1,,version1.0,Medium,,,UNEXECUTED,,8/19/2022 16:21,,,,,,6c514395-9f00-4e4b-8f0b-493e05b02d62,4,enter password,admin123,password accepted,,,
b57b45da-6358-42dc-8759-579695fe9b0b,Ad hoc,,PROJ-26,check the functionality of home page log out feature,project1,,version1.0,Medium,,,UNEXECUTED,,8/19/2022 16:21,,,,,,7db04fc4-e7a3-4214-977c-c41ce067272a,5,click on login button,,it should navigate to orange hrm homepage,,,
b57b45da-6358-42dc-8759-579695fe9b0b,Ad hoc,,PROJ-26,check the functionality of home page log out feature,project1,,version1.0,Medium,,,UNEXECUTED,,8/19/2022 16:21,,,,,,42dfb5af-eb25-414a-a097-17d0842ca593,6,click on log out button,orange hrm,it should goes back to login page,,,
